,District,Price,Tel,combined_bs,cooking_space,dist,floor,house_type,lat,link,living_space,lon,metro_station,metro_time,new,rooms,separate_bs,total_floors,total_space,walk,metro_time_non,total_floors_non,living_space_non,cooking_space_non
169,0,84300000,0,0,15.0,5.97912005104,5,кирпично-монолитный,55.725564,150291479,95.0,37.573267,Парк Культуры,5.0,0,4.0,0,14.0,139.0,1.0,0,0,0,0
170,0,18356000,0,1,10.0,2.27629433881,3,монолитный,55.770208,150593184,23.0,37.638036,Сухаревская,6.0,1,1.0,1,8.0,48.8,1.0,0,0,0,0
171,0,9356608,0,1,9.01186393805,5.86425031966,2,Else,55.775753,149031245,42.6,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,42.6,1.0,0,1,0,1
172,0,9373650,0,0,9.01186393805,6.54163325587,9,монолитный,55.770244,50960658,28.4114849481,37.564689,Улица 1905 года,5.0,1,1.0,0,39.0,42.9,1.0,0,0,1,1
173,0,9390000,1,0,8.0,6.54074148517,1,блочный,55.774811,150329842,22.0,37.678559,Бауманская,2.0,0,2.0,0,9.0,37.0,1.0,0,0,0,0
174,0,9400000,1,1,7.5,6.96350156295,6,панельныйдом,55.74108,149727428,18.0,37.683877,Римская,9.0,0,1.0,0,17.0,38.4,1.0,0,0,0,0
175,0,9464000,0,0,9.01186393805,6.54163325587,6,монолитный,55.770244,50960978,28.4114849481,37.564689,Улица 1905 года,5.0,1,1.0,0,39.0,45.5,1.0,0,0,1,1
176,0,9490000,1,1,9.0,5.39889355974,2,кирпичный,55.765858,149512881,17.0,37.669729,Бауманская,8.0,0,1.0,0,9.0,34.0,0.0,0,0,0,0
177,0,9500000,0,1,7.9,8.08778666905,3,кирпично-монолитный,55.737345,150649363,16.8,37.693624,Римская,15.0,0,1.0,0,24.0,36.9,1.0,0,0,0,0
178,0,9500000,0,1,8.1,8.08778666905,13,кирпичный,55.737345,149561492,16.4,37.693624,Римская,15.0,0,1.0,0,24.0,40.9,1.0,0,0,0,0
179,0,9500000,1,1,6.8,6.00545274675,4,кирпичный,55.771641,149146537,29.0,37.569926,Улица 1905 года,15.0,0,2.0,0,5.0,45.0,1.0,0,0,0,0
180,0,9500000,1,1,6.0,6.00545274675,4,кирпичный,55.771641,149967433,29.0,37.569926,Улица 1905 года,15.0,0,2.0,0,5.0,44.0,1.0,0,0,0,0
181,0,9500000,1,1,6.0,3.92151325234,3,кирпичный,55.73478,150639725,29.0,37.653909,Таганская,9.0,0,2.0,0,5.0,43.0,1.0,0,0,0,0
182,0,9500000,1,1,9.6,5.83799123143,5,панельныйдом,55.766694,144133232,20.0,37.570564,Улица 1905 года,9.0,0,1.0,0,12.0,35.2,1.0,0,0,0,0
183,0,9500000,0,0,6.0,3.71209370179,1,кирпичный,55.769707,149842937,18.0,37.591117,Маяковская,4.0,0,1.0,1,5.0,30.0,1.0,0,0,0,0
184,0,9500000,1,0,9.01186393805,3.99976488393,2,кирпичный,55.771312,149419090,27.0,37.655347,Комсомольская,5.0,0,2.0,1,6.0,39.0,1.0,0,0,0,1
185,0,9600000,0,1,7.0,2.85729135983,4,панельныйдом,55.774305,149434930,44.0,37.642132,Сухаревская,5.0,0,3.0,0,16.0,65.0,1.0,0,0,0,0
186,0,9650000,1,0,7.0,6.85233661675,7,Else,55.743613,150764198,24.0,37.683167,Римская,5.0,0,2.0,1,12.0,39.0,0.0,0,0,0,0
187,0,9700000,1,0,7.4,3.65663893671,2,панельныйдом,55.785878,139550369,29.0,37.601034,Менделеевская,7.0,0,2.0,1,12.0,47.4,1.0,0,0,0,0
188,0,9700000,0,0,7.0,9.10893953239,1,кирпичный,55.772396,150638572,30.0,37.702706,Электрозаводская,11.0,0,2.0,1,14.0,50.0,1.0,0,0,0,0
189,0,9700000,0,1,6.0,4.36716727706,1,Else,55.788905,150704407,42.5,37.594207,Савеловская,11.0,0,3.0,0,5.0,56.0,0.0,0,0,0,0
190,0,9700000,1,0,7.5,6.39479627209,11,панельныйдом,55.768061,150468272,22.2,37.678514,Бауманская,5.0,0,2.0,1,12.0,39.5,1.0,0,0,0,0
191,0,9700000,1,1,6.0,5.16297769367,3,панельныйдом,55.741642,136725466,32.0,37.667483,Марксистская,11.0,0,2.0,0,17.0,38.0,1.0,0,0,0,0
192,0,9700000,1,0,8.0,5.87972972117,7,панельныйдом,55.729463,150438299,20.0,37.572917,Фрунзенская,8.0,0,1.0,0,12.0,37.0,1.0,0,0,0,0
193,0,9700000,0,1,9.0,5.83799123143,3,Else,55.766694,150751616,20.0,37.570564,Улица 1905 года,9.0,0,1.0,0,12.0,35.0,0.0,0,0,0,0
194,0,9746690,0,1,9.01186393805,5.86425031966,5,Else,55.775753,149031297,42.0,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,42.0,1.0,0,1,0,1
195,0,9768439,0,1,9.01186393805,5.90357060989,5,кирпичный,55.776294,149920200,46.2,37.672163,Красносельская,5.0,0,2.0,0,6.0,46.2,1.0,0,0,0,1
196,0,33157798,0,1,9.01186393805,9.63167835763,19,кирпично-монолитный,55.750403,150322497,1.0,37.53552,Международная,4.0,0,2.0,1,86.0,88.0,1.0,0,0,0,1
197,0,161033472,0,0,9.01186393805,2.66700709742,2,Else,55.763493,148217501,28.4114849481,37.599319,Тверская,5.0,0,3.0,0,8.0,128.0,1.0,0,0,1,1
198,0,106227500,0,3,18.0,4.53012693912,3,монолитный,55.735368,51163729,94.0,37.584119,Парк Культуры,8.0,0,4.0,0,7.0,179.6,1.0,0,0,0,0
199,0,9792900,0,0,9.01186393805,4.28649915847,5,монолитный,55.770853,150458157,30.0,37.658257,Комсомольская,9.0,1,1.0,1,18.0,41.0,1.0,0,0,0,1
200,0,9800000,0,2,10.0,5.86425031966,3,кирпичный,55.775753,149490088,45.0,37.671938,Красносельская,5.0,0,1.0,0,5.0,60.0,0.0,0,0,0,0
